,id,Actual,No Embeddings,GLOVE (6B - 50),GLOVE (840B - 300),Doc2Vec USPTO Patent Embeddings,FastText
0,US9261901B2,0,[0],[0],[0],[0],[0]
1,US9638111B2,0,[0],[0],[0],[0],[0]
2,US9085449B2,0,[0],[0],[0],[0],[0]
3,US9392445B2,0,[0],[0],[0],[0],[0]
4,US9591808B2,0,[0],[0],[0],[0],[0]
5,US9883739B1,0,[0],[0],[0],[0],[0]
6,US9044242B2,0,[0],[0],[0],[0],[0]
7,US8942550B1,0,[0],[0],[0],[0],[0]
8,US8997402B2,0,[0],[0],[0],[0],[0]
9,US9977411B2,1,[1],[1],[1],[1],[1]
10,US8835365B2,0,[0],[0],[0],[0],[0]
11,US9272360B2,0,[0],[0],[0],[0],[0]
12,US9523929B2,0,[0],[0],[0],[0],[0]
13,US10092923B2,0,[0],[0],[0],[0],[0]
14,US9034210B2,0,[0],[0],[0],[0],[0]
15,US10020452B2,0,[0],[0],[0],[0],[0]
16,US9285063B2,0,[0],[0],[0],[0],[0]
17,US8445113B2,0,[0],[0],[0],[0],[0]
18,US9109789B2,0,[0],[0],[0],[0],[0]
19,US8673204B2,0,[0],[0],[0],[0],[0]
20,US9115326B2,0,[0],[0],[0],[0],[0]
21,US9640899B2,0,[0],[0],[0],[0],[0]
22,US9343350B2,0,[0],[0],[0],[0],[0]
23,US9239063B2,0,[0],[0],[0],[0],[0]
24,US4772326A,0,[0],[0],[0],[0],[0]
25,US6215214A,0,[0],[0],[0],[0],[0]
26,US6292060A,0,[0],[0],[0],[0],[0]
27,US8701918B2,0,[0],[0],[0],[0],[0]
28,US9778294B2,0,[0],[0],[0],[0],[0]
29,US9789031B2,0,[0],[0],[0],[0],[0]
30,US9674938B2,0,[0],[0],[0],[0],[0]
31,US9305748B2,0,[0],[0],[0],[0],[0]
32,US9426999B2,0,[0],[0],[0],[0],[0]
33,US9991574B2,0,[0],[0],[0],[0],[0]
34,US6071093A,0,[0],[0],[0],[0],[0]
35,US9932084B2,0,[0],[0],[0],[0],[0]
36,US6152693A,0,[0],[0],[0],[0],[0]
