,id,Actual,Nearest Neighbors,Support Vector Classifier (RBF),Logistic Regression,Ridge Regression,Random Forest,Decision Tree with Boosting,Decision Tree with Bagging,Multi Layer Perceptron,Gradient Boosting Classifier,LASSO,Linear Regression,Robust Regression
0,US7070215B2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,US9256249B2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,US9616574B2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,US9261901B2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,US9452963B2,0,0,0,0,0,0,0,0,0,0,0,0,0
5,US9115075B2,0,0,0,0,0,0,0,0,0,0,0,0,0
6,US9796135B2,0,0,0,0,0,0,0,0,0,0,0,0,0
7,US10088073B1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,US9022134B2,0,0,0,0,0,0,0,0,0,0,0,0,0
9,US9831482B2,0,0,0,0,0,0,0,0,0,0,0,0,0
10,US9034972B2,0,0,0,0,0,0,0,0,0,0,0,0,0
11,US9883739B1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,US9044242B2,0,0,0,0,0,0,0,0,0,0,0,0,0
13,US8942550B1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,US5576596A,0,0,0,0,0,0,0,0,0,0,0,0,0
15,US9651291B2,0,0,0,0,0,0,0,0,0,0,0,0,0
16,US9468195B2,0,0,0,0,0,0,0,0,0,0,0,0,0
17,US4746040A,0,0,0,0,0,0,0,0,0,0,0,0,0
18,US9366506B2,0,0,0,0,0,0,0,0,0,0,0,0,0
19,US9766037B2,0,0,0,0,0,0,0,0,0,0,0,0,0
20,US9988763B2,0,0,0,0,0,0,0,0,0,0,0,0,0
21,US8673204B2,0,0,0,0,0,0,0,0,0,0,0,0,0
22,US10086324B2,0,0,0,0,0,0,0,0,0,0,0,0,0
23,US9267634B2,0,0,0,0,0,0,0,0,0,0,0,0,0
24,US9220693B2,0,0,0,0,0,0,0,0,0,0,0,0,0
25,US8987214B2,0,0,0,0,0,0,0,0,0,0,0,0,0
26,US9574399B2,0,0,0,0,0,0,0,0,0,0,0,0,0
27,US9265466B2,0,0,0,0,0,0,0,0,0,0,0,0,0
28,US9343350B2,0,0,0,0,0,0,0,0,0,0,0,0,0
29,US9239063B2,0,0,0,0,0,0,0,0,0,0,0,0,0
30,US4772326A,0,0,0,0,0,0,0,0,0,0,0,0,0
31,US8510995B2,0,0,0,0,0,0,0,0,0,0,0,0,0
32,US6292060A,0,0,0,0,0,0,0,0,0,0,0,0,0
33,US9997848B2,0,0,0,0,0,0,0,0,0,0,0,0,0
34,US4496096A,0,0,0,0,0,0,0,0,0,0,0,0,0
35,US8590907B2,0,0,0,0,0,0,0,0,0,0,0,0,0
36,US8182014B2,0,0,0,0,0,0,0,0,0,0,0,0,0
37,US10058938B2,0,0,0,0,0,0,0,0,0,0,0,0,0
38,US8613958B2,0,0,0,0,0,0,0,0,0,0,0,0,0
39,US9708561B2,0,0,0,0,0,0,0,0,0,0,0,0,0
40,US6649698B1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,US8944700B2,0,0,0,0,0,0,0,0,0,0,0,0,0
42,US9758255B1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,US9740647B1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,US9399554B2,0,0,0,0,0,0,0,0,0,0,0,0,0
45,US9726687B2,0,1,0,0,0,0,0,0,0,0,0,0,0
46,US9402687B2,0,0,0,0,0,0,0,0,0,0,0,0,0
47,US8105392B2,0,0,0,0,0,0,0,0,0,0,0,0,0
48,US9856679B2,0,0,0,0,0,0,0,0,0,0,0,0,0
49,US5237842A,0,0,0,0,0,0,0,0,0,0,0,0,0
50,US5138978A,0,0,0,0,0,0,0,0,0,0,0,0,0
51,US9902620B2,0,0,0,0,0,0,0,0,0,0,0,0,0
52,US9163375B2,0,0,0,0,0,0,0,0,0,0,0,0,0
53,US9385428B2,0,0,0,0,0,0,0,0,0,0,0,0,0
54,US10035440B2,0,0,0,0,0,0,0,0,0,0,0,0,0
55,US8985225B2,0,0,0,0,0,0,0,0,0,0,0,0,0
56,US10081732B2,0,0,0,0,0,0,0,0,0,0,0,0,0
57,US7470380B2,0,0,0,0,0,0,0,0,0,0,0,0,0
58,US6943229B2,0,0,0,0,0,0,0,0,0,0,0,0,0
59,US4903062A,0,0,0,0,0,0,0,0,0,0,0,0,0
60,US5456147A,0,0,0,0,0,0,0,0,0,0,0,0,0
61,US4867485A,0,0,0,0,0,0,0,0,0,0,0,0,0
62,US9139943B2,0,0,0,0,0,0,0,0,0,0,0,0,0
63,US6364369B2,0,0,0,0,0,0,0,0,0,0,0,0,0
64,US9326439B2,0,0,0,0,0,0,0,0,0,0,0,0,0
65,US10003434B2,0,1,0,0,0,0,0,0,0,0,0,0,0
66,US5427329A,0,0,0,0,0,0,0,0,0,0,0,0,0
67,US9655418B2,0,0,0,0,0,0,0,0,0,0,0,0,0
68,US6872024B2,0,0,0,0,0,0,0,0,0,0,0,0,0
69,US10080392B2,0,0,0,0,0,0,0,0,0,0,0,0,0
70,US9227965B2,0,0,0,0,0,0,0,0,0,0,0,0,0
71,US9121488B2,0,0,0,0,0,0,0,0,0,0,0,0,0
72,US10132345B2,0,0,0,0,0,0,0,0,0,0,0,0,0
73,US6628869B2,0,0,0,0,0,0,0,0,0,0,0,0,0
74,US6533361B1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,US8944304B2,0,0,0,0,0,0,0,0,0,0,0,0,0
76,US7243992B2,0,0,0,0,0,0,0,0,0,0,0,0,0
77,US9777512B2,0,0,0,0,0,0,0,0,0,0,0,0,0
78,US9941770B2,0,0,0,0,0,0,0,0,0,0,0,0,0
79,US7583031B1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,US9876914B2,0,0,0,0,0,0,0,0,0,0,0,0,0
81,US8942004B2,0,0,0,0,0,0,0,0,0,0,0,0,0
82,US4928124A,0,0,0,0,0,0,0,0,0,0,0,0,0
83,US4915908A,0,0,0,0,0,0,0,0,0,0,0,0,0
84,US6180883A,0,0,0,0,0,0,0,0,0,0,0,0,0
85,US9642217B2,0,0,0,0,0,0,1,0,0,1,0,0,0
86,US7850137B2,0,0,0,0,0,0,0,0,0,0,0,0,0
87,US4536542A,0,0,0,0,0,0,0,0,0,0,0,0,0
