,id,Actual,BERT,RoBERTa,XLNet,ELECTRA,Big-Bird,ALBERT,DistilBERT,SciBERT,PatentSBERTa,BioBERT
0,US9018239B2,0,0,0,0,0,0,0,0,0,0,0
1,US9976634B2,0,0,0,0,0,0,0,0,0,0,0
2,US9718243B2,0,0,0,0,0,0,0,0,0,0,0
3,US9392445B2,0,0,0,0,0,0,0,0,0,0,0
4,US9090200B2,0,0,0,0,0,0,0,0,0,0,0
5,US9080016B2,0,0,0,0,0,0,0,0,0,0,0
6,US9791320B2,0,0,0,0,0,0,0,0,0,0,0
7,US5293181A,0,0,0,0,0,0,0,0,0,0,0
8,US8284566B2,0,0,0,0,0,0,0,0,0,0,0
9,US9977411B2,1,1,1,1,1,1,1,1,1,1,1
10,US9214704B2,0,0,0,0,0,0,0,0,0,0,0
11,US10092923B2,0,0,0,0,0,0,0,0,0,0,0
12,US9456488B2,0,0,0,0,0,0,0,0,0,0,0
13,US9913041B2,0,0,0,0,0,0,0,0,0,0,0
14,US7005335B2,0,0,0,0,0,0,0,0,0,0,0
15,US9285063B2,0,0,0,0,0,0,0,0,0,0,0
16,US9723883B1,0,0,0,0,0,0,0,0,0,0,0
17,US9070486B2,0,0,0,0,0,0,0,0,0,0,0
18,US7241361B2,0,0,0,0,0,0,0,0,0,0,0
19,US9186524B2,0,0,0,0,0,0,0,0,0,0,0
20,US4529771A,0,0,0,0,0,0,0,0,0,0,0
21,US9640899B2,0,0,0,0,0,0,0,0,0,0,0
22,US9518026B2,0,0,0,0,0,0,0,0,0,0,0
23,US7931952B2,0,0,0,0,0,0,0,0,0,0,0
24,US5435688A,0,0,0,0,0,0,0,0,0,0,0
25,US9036916B2,1,1,1,1,1,1,1,1,1,1,1
26,US9475746B2,0,0,0,0,0,0,0,0,0,0,0
27,US9778294B2,0,0,0,0,0,0,0,0,0,0,0
28,US9659236B2,1,1,1,1,1,1,1,1,1,1,1
29,US9305748B2,0,0,0,0,0,0,0,0,0,0,0
30,US6536310B2,0,0,0,0,0,0,0,0,0,0,0
31,US9991574B2,0,0,0,0,0,0,0,0,0,0,0
32,US9259078B1,0,0,0,0,0,0,0,0,0,0,0
33,US9966614B2,0,0,0,0,0,0,0,0,0,0,0
34,US9815358B1,0,0,0,0,0,0,0,0,0,0,0
35,US6032049A,0,0,0,0,0,0,0,0,0,0,0
36,US9397206B2,0,0,0,0,0,0,0,0,0,0,0
37,US4786534A,0,0,0,0,0,0,0,0,0,0,0
38,US9994679B2,0,0,0,0,0,0,0,0,0,0,0
39,US6027800A,0,0,0,0,0,0,0,0,0,0,0
40,US9132281B2,0,0,0,0,0,0,0,0,0,0,0
41,US10030161B2,0,0,0,0,0,0,0,0,0,0,0
42,US5941102A,0,0,0,0,0,0,0,0,0,0,0
43,US9397209B2,0,0,0,0,0,0,0,0,0,0,0
44,US6361755B1,0,0,0,0,0,0,0,0,0,0,0
45,US9490229B2,0,0,0,0,0,0,0,0,0,0,0
46,US9828842B2,0,0,0,0,0,0,0,0,0,0,0
47,US9347086B2,0,0,0,0,0,0,0,0,0,0,0
48,US9360001B2,0,0,0,0,0,0,0,0,0,0,0
49,US10039696B2,0,0,0,0,0,0,0,0,0,0,0
50,US9888530B2,0,0,0,0,0,0,0,0,0,0,0
51,US6843517B2,0,0,0,0,0,0,0,0,0,0,0
52,US4545606A,0,0,0,0,0,0,0,0,0,0,0
53,US6874698B1,0,0,0,0,0,0,0,0,0,0,0
54,US4867770A,0,0,0,0,0,0,0,0,0,0,0
