,app number,actual,abstract,ipc c,application year
0,US7070215B2,0,Tilt latch mechanism for hung windows a dual function lock a tilt latch assembly and tilt latch for use on a hung or double hung window are provided the lock includes a base a handle and a tilt latch actuating mechanism the tilt latch assembly includes a lock left and right latches and an extensible member the tilt latch actuating mechanism is adapted to receive the extensible member and has a null zone between locked and unlocked positions of the handle in the null zone no substantial movement of the extensible member as the handle is rotated from the locked to unlocked positions the tilt latch actuating mechanism causes the extensible member to move in a direction toward the lock as the handle is rotated from the unlocked position to a tilt position,E0,2004
1,US9018239B2,0,Treatment of edible crops in the growing of crops for consumption a method for the removal of pathogens includes the addition to irrigation water for the crops of an anti pathogen composition and supplying the anti pathogen composition to the crops prior to harvest while normal irrigation is effected the anti pathogen composition is based on halogens such as chlorine bromine and iodine or mixtures of halogens or halogens combined with other organic radicals including cyanurate hydantoin peroxide and chlorine dioxide bcdmh and tica are preferred anti pathogen components of the anti pathogen composition and may be added to a carrier concentrate and measured and dosed into the irrigation water,A0,2012
2,US5257045A,0,Ionographic printing with a focused ion stream an ionographic printer directs a stream of ions from a source to a charge receptor to create an electrostatic latent image thereon the ion stream passes through a relatively large aperture having associated therewith a focusing pinch electrode for narrowing the ion stream to a preselected width and displacing electrodes for positioning the narrowed ion stream within the aperture varying the biases of the displacing electrodes causes the ion stream to scan across the aperture to deposit multiple spots of charged areas at desired locations on the receptor,G0,1992
3,US6507704B2,0,Pseudo zoom camera and image processing system using the pseudo zoom camera this invention relates to a pseudo zoom camera and an image processing system using the camera in which any of the pseudo zoom magnification and the pseudo zoom magnification number or any of the pseudo zoom magnification and the pseudo zoom magnification number in combination with the picture area are recorded as pseudo zoom information,G0,2001
4,US9256249B2,0,Stand assembly and monitor a system can include a platform that includes a front end and a back end a support that includes a column an extension and an arm joint disposed on the extension where the column extends vertically from the platform and where the extension extends from the column at an acute angle and positions the arm joint vertically above the platform and toward the back end of the platform a monitor mount that includes an arm joint a monitor that includes a computing device and a touch screen the monitor being mountable to the monitor mount and an arm coupled at a pivot end to the arm joint of the support and coupled at a free end to the arm joint of the monitor mount the monitor mount being pivotable about the free end of the arm various other apparatuses assemblies systems methods etc are also disclosed,H0 A4 G0 E0 F1,2013
5,US9616574B2,0,Plasma sealant wobble paddle an apparatus is configured to process a work piece and includes a robotic arm a sealant discharger and a plasma discharger the robotic arm includes a distal end that is rotatable with respect to an axis of the robotic arm the sealant discharger includes a sealant outlet configured to discharge sealant while the sealant outlet is at a first point the sealant discharger is mounted on the distal end such that the first point is located on the axis the plasma discharger includes a plasma outlet configured to discharge plasma while the plasma outlet is at a second point that is located a distance apart from the axis the plasma discharger is mounted on the distal end such that the second point is rotatable around the axis,B3 B2,2013
6,US9261901B2,0,Turntable stand assembly and monitor a system can include a platform a turntable coupled to the platform for rotation of the platform about a vertical axis a support that includes a column an extension and an arm joint disposed on the extension where the column extends vertically from the platform and where the extension extends from the column at an angle and positions the arm joint vertically above the platform and toward a perimeter of the platform a monitor mount that includes an arm joint a monitor that includes a computing device and a touch screen the monitor being mountable to the monitor mount and an arm coupled at a pivot end to the arm joint of the support and coupled at a free end to the arm joint of the monitor mount which is pivotable about the free end of the arm various other apparatuses assemblies systems methods etc are also disclosed,F2 H0 G0 F1 E0 A4,2013
7,US9976634B2,0,Rotary tensioner a tensioner comprising a base having a base aperture the base aperture disposed to receive a driven component a rotary arm pivotally engaged with the base an axis of rotation of the rotary arm aligned with a base aperture center a first pulley journalled to the rotary arm a swing arm pivotally engaged with the rotary arm about a shaft the shaft and swing arm each having cooperating frustoconical portions a torsion spring biasing the pivot arm a second pulley journalled to the swing arm a bushing having a frustoconical portion in frictional engagement with the swing arm frustoconical portion the bushing in fixed relation to the shaft or pivot arm and a first damping ring frictionally engaged between the rotary arm and the base a belleville spring in pressing engagement whereby a normal force is applied to the first damping ring,F1 F0,2016
8,US9452963B2,0,Method for producing 1 3 butadiene and or 3 buten 2 ol disclosed is a method for producing butadiene and or buten ol from butanediol with high selectivity without using a radioactive substance the method for producing butadiene and or buten ol comprises the step of dehydrating butanediol in the presence of scandium oxide the method enables the production of butadiene and or buten ol from butanediol with high selectivity without using a radioactive substance,C0,2014
9,US9638111B2,0,Providing oxidation to a gas turbine engine a gas turbine engine includes a compressor for compressing air from an environment a combustor for receiving the compressed air from the compressor mixing the compressed air with fuel and combusting the fuel a turbine coupled with the compressor for receiving exhaust gas from the combustion and powering the compressor and an injector coupled with a source of oxidizer for injecting the oxidizer into the combustor a method for operating a gas turbine engine includes compressing air from an environment receiving the compressed air at a combustor mixing the compressed air with fuel injecting oxidizer into the combustor in addition to the air from the environment combusting the fuel with the compressed air and the oxidizer receiving exhaust gas from the combusted fuel and powering the compression of the air from the environment using the exhaust gas,F0,2012
10,US9115075B2,0,Method for producing hydroxycarboxylic acid derivative to provide a method for the production of a hydroxycarboxylic acid derivative by which a hydroxycarboxylic acid derivative which can be reused in various applications can be obtained from a polyamide at a high yield without consuming a large amount of energy a method for the production of a hydroxycarboxylic acid derivative which is characterized by including allowing an alcohol in a supercritical state to act on a polyamide in the presence of a carboxylic acid derivative to depolymerize the polyamide to obtain the hydroxycarboxylic acid derivative,C0,2010
11,US10130979B2,0,Flatness of a rolled strip a method for improving the flatness of a rolled sheet or strip includes the application of differential cooling a cooling agent can be selectively applied along the width of the strip more cooling can be applied to the edges of the strip where tension is greatest to increase tension at the edges the strip can be allowed to lengthen at these edges which can improve flatness in some embodiments a closed loop flatness control system is used to measure the flatness of a strip and automatically adjust the differential cooling based on the measurement,B2,2018
12,US9085449B2,0,Aseptic dosing system the present application provides an aseptic dosing system for dispensing a micro ingredient the aseptic dosing system may include a micro ingredient source adapted to dispense the micro ingredient a sterilizer downstream of the micro ingredient source configured to sterilize the micro ingredient and a nozzle downstream of the sterilizer configured to reconstitute the micro ingredient in or downstream thereof,B6,2010
13,US8557347B1,0,Flame retardant fabrics and methods for manufacturing the same embodiments of the present invention use melamine based resins as a pretreatment on fabrics and fabric blends in combination with phosphorus based flame retardants to improve flame retardant performance durability and further promote char formation in a combustion zone of the fabric,B0,2010
14,US9919923B2,0,Method for producing hydrogen peroxide an object of the present invention is to provide a method by which hydrogen peroxide can be produced at a satisfactory level from an industrial and economical viewpoint without causing the load of purification to be large and without needing too large facilities for production the present invention is directed to a method for producing hydrogen peroxide which comprises reacting hydrogen and oxygen in a reaction medium in the presence of a noble metal catalyst and a radical scavenger,B0 C0,2013
15,US9796135B2,0,Belt splicer a belt splicer for splicing butt ends of thermoplastic belts together the splicer uses a plurality of cranks in conjunction with heavy springs to close and rapidly open jaws holding butt ends of a belt in place against a heating wand for melting and against each other for welding the melted ends together the rapid opening of the jaw also lowers the wand which is locked in place by a wand lock during the melting of the butt ends,B2 F1,2015
16,US7935130B2,0,Two piece end effectors for robotic surgical tools in one embodiment of the invention a robotic surgical tool having opposing jaws the working element of the robotic surgical tool is made of a different material from the drive element of the robotic surgical tool the two elements may be manufactured independently and assembled together at a later stage the material comprising each element may thus have properties more appropriate to the function each element plays in the robotic surgical tool for example the metal selected to comprise the blade of a surgical scissor may be corrosion resistant and capable of being sharpened to a high degree,A6,2007
17,US9718243B2,0,Method of manufacturing a rigid repair wrap including a laminate disposed laterally within the repair wrap a repair wrap for repairing or strengthening an item the repair wrap includes a fabric where the fabric includes one or more fibers the repair wrap also includes a film disposed laterally within the fabric the repair wrap further includes a hardening material disposed in the fabric the fabric is configured to be wrapped around a portion of an item curing the hardening material is configured to form a shell about the portion of the item,B3 F1 B2 D0,2014
18,US9795682B2,0,Beverages with compositions of vinegar a composite vinegar infused juice blend includes juice blend including natural fruit and or vegetable juices and vinegar composition including coconut vinegar and apple cider vinegar a beetroot based juice blend includes beet juice carrot juice apple juice and water with equal parts of coconut vinegar and apple cider vinegar orange and carrot mango and sweet potato based juice blends are disclosed a sweet composite vinegar infused beverage for alleviation or treatment of flu or cold symptoms includes apple cider vinegar coconut vinegar water organic honey and peppermint extract also disclosed is a method for alleviation or treatment of flu or cold symptoms,A6 A2 C1,2014
19,US9392445B2,0,Handoff at an ad hoc mobile service provider an ad hoc service provider is configured to support pre authentication with a server for the purpose of receiving a handoff of a mobile client from another ad hoc service provider the ad hoc service provider is further configured to enable the mobile client to maintain a session with the server while receiving the handoff from said another ad hoc service provider,H0,2008
20,US9090200B2,0,Tailgate disclosed is a tailgate especially for a vehicle comprising a platform which is joined to a lifting lowering mechanism via at least one arm the platform forms a rotary shaft a along with the support arm while the support arm forms a swiveling shaft s along with the lifting lowering mechanism a motor is to be allocated to the rotary shaft a and or the swiveling shaft s,B6,2006
